City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Padang,ID,-0.9492,100.3543,75.33,88,100,5.66,overcast clouds
108,Avarua,CK,-21.2078,-159.775,77.05,61,40,12.66,scattered clouds
109,San Jeronimo,PE,-11.9472,-75.2829,57.45,70,97,6.11,overcast clouds
110,Russell,US,32.3502,-85.1999,60.4,88,100,3.44,overcast clouds
111,Qaanaaq,GL,77.484,-69.3632,-3.28,73,9,6.91,clear sky
112,Portland,US,45.5234,-122.6762,56.93,49,0,20.71,clear sky
113,Surin,TH,14.8818,103.4936,74.64,87,95,2.73,overcast clouds
114,Coruripe,BR,-10.1256,-36.1756,77.22,82,27,11.14,scattered clouds
115,Port Hedland,AU,-20.3167,118.5667,73.45,100,75,3.44,moderate rain
116,Mar Del Plata,AR,-38.0023,-57.5575,76.82,35,0,13.8,clear sky
117,Ancud,CL,-41.8697,-73.8203,54.34,98,100,11.99,light rain
118,Port Blair,IN,11.6667,92.75,76.46,88,100,3.96,overcast clouds
119,Xining,CN,36.6167,101.7667,31.96,64,1,1.81,clear sky
120,Elliot Lake,CA,46.3834,-82.6331,29.44,49,100,7.31,overcast clouds
121,Tura,IN,25.5198,90.2201,60.69,89,0,3.33,clear sky
122,Paamiut,GL,61.994,-49.6678,19.51,79,100,7.16,overcast clouds
123,Chuy,UY,-33.6971,-53.4616,70.66,47,0,11.61,clear sky
124,Yarmouth,US,41.7057,-70.2286,45.07,63,40,5.75,scattered clouds
125,Saint George,US,37.1041,-113.5841,52.43,27,0,10.0,clear sky
126,Shahr-E Babak,IR,30.1165,55.1186,51.93,52,0,3.22,clear sky
127,Kuvshinovo,RU,57.0295,34.1725,27.36,96,100,7.23,overcast clouds
128,San Quintin,MX,30.4833,-115.95,66.29,39,0,7.72,clear sky
129,Kirakira,SB,-10.4544,161.9205,82.9,74,40,3.09,scattered clouds
130,Katsuura,JP,35.1333,140.3,54.79,81,2,9.13,clear sky
